;;AD1;AD1;AD1;AD2;AD2;AD2;TOOLBOX;TOOLBOX;TOOLBOX;SERVICE;AD1;AD1;AD2;AD2;TOOLBOX;TOOLBOX;SERVICE;CUEAC6-25S01;CUEAC6-25S01;CUEAC6-25S01;CUEAC6-25S01;CUEAC6-25S01;CUEAC6-25S01;CUEAC25S02;CUEAC25S02;CUEAC25S02;CUEAC25S03;CUEAC25S03;CUEAC25S03;CUEAC25S04;CUEAC25S04;CUEAC25S04;CUEAC25S05;CUEAC25S05;CUEAC25S05;CUEAC25S06;CUEAC25S06;CUEAC25S06;CUEAC25S07;CUEAC25S07;CUEAC25S07;CUEAC25S08;CUEAC25S08;CUEAC25S08;CUEAC25S09;CUEAC25S09;CUEAC25S09;CUEAC6-25S01;CUEAC6-25S01;CUEAC25S02;CUEAC25S03;CUEAC25S04;CUEAC25S05;CUEAC25S06;CUEAC25S07;CUEAC25S08;CUEAC25S09;CUEAC6-25S01;CUEAC6-25S01;CUEAC25S02;CUEAC25S03;CUEAC25S04;CUEAC25S05;CUEAC25S06;CUEAC25S07;CUEAC25S08;CUEAC25S09;UC100CX01;UC100CX01;UC100CX01;UC100CX01;UC300CX01;UC300CX01;UC300CX01;UC100CX01;UC300CX01;UC300CX01;UCS1000P01;UCS1000P01;UCS1000P01;UCS1000S01;UCS1000S01;UCS1000S01;UC1000CNX01;UC1000CNX01;UC1000CNX01;UC1000PS01;UC1000PS01;UC1000PS01;UCS1000P01;UCS1000P01;UCS1000S01;UCS1000S01;UC1000CNX01;UC1000CNX01;UC1000PS01;UC1000PS01;UCS7500P01;UCS7500S01;UCS7500S02;UCS7500S03;UCS7500S04;UCS7500S07;UCS7500S08;UC7500CNX01;UC7500PS01;UCS7500P01;UCS7500S01;UCS7500S02;UCS7500S03;UCS7500S04;UCS7500S07;UCS7500S08;UC7500CNX01;UC7500PS01;UCS7500P01;UCS7500S01;UCS7500S02;UCS7500S03;UCS7500S04;UCS7500S07;UCS7500S08;UC7500CNX01;UC7500PS01;UCS7500P01;UCS7500S01;UCS7500S02;UCS7500S03;UCS7500S04;UCS7500S07;UCS7500S08;UC7500CNX01;UC7500PS01;UCS20000P01;UCS20000S01;UCS20000S02;UCS20000S03;UCS20000S04;UCS20000S05;UCS20000S06;UCS20000S07;UCS20000S08;UCS20000S09;UCS20000S10;UC20000CNX01;UC20000PS01;UC20000PS02;UCS20000P01;UCS20000S01;UCS20000S02;UCS20000S03;UCS20000S04;UCS20000S05;UCS20000S06;UCS20000S07;UCS20000S08;UCS20000S09;UCS20000S10;UC20000CNX01;UC20000PS01;UC20000PS02;UCS20000P01;UCS20000S01;UCS20000S02;UCS20000S03;UCS20000S04;UCS20000S05;UCS20000S06;UCS20000S07;UCS20000S08;UCS20000S09;UCS20000S10;UC20000CNX01;UC20000PS01;UC20000PS02;UCS40000P01;UCS40000S01;UCS40000S02;UCS40000S03;UCS40000S04;UCS40000S05;UCS40000S06;UCS40000S07;UCS40000S08;UCS40000S09;UCS40000S10;UC40000CNX01;UC40000CNX02;UC40000PS01;UC40000PS02;UC40000PS03
Vapp CUEAC25 HCS8.6.2 V4 Middleware 2;71000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UCCX HCS8.6.1 V1;22000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UCCX HCS8.6.2 V1;32000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UCCX HCS8.6.2 V3;42000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UCCX HCS8.6.2 V2 (1 UCCX);62000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UCCX HCS8.6.2 V4 Middleware 2;72000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UC 1000 users HCS8.6.1 V1;23000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UC 1000 users HCS8.6.2 V1;33000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UC 1000 devices HCS8.6.2 V3;43000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;;;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UC 7500 devices HCS8.6.2 V3;44000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UC 20000 devices HCS8.6.2 V3;45000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UC 40000 devices HCS8.6.2 V3;46000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Vapp UC 2500 users HCS8.6.2 V1 (1 Publisher,  6 Subscribers,  1 Unity et 1 CUPS);34000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UC 1000 devices HCS8.6.2 V2 (1 Publisher, 1 Subscriber, 1 Unity et 1 CUPS);63000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;X;;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UC 1000 devices HCS8.6.2 V4 (1 Publisher, 1 Subscriber, 1 Unity et 1 CUPS);73000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;X;;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UC 7500 devices 8.6.2 V2  (1 Publisher,  6 Subscribers,  1 Unity et 1 CUPS);64000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UC 7500 devices 8.6.2 V4  (1 Publisher,  6 Subscribers,  1 Unity et 1 CUPS);74000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UC 20000 devices 8.6.2 V2  (1 Publisher,  8 Subscribers,  2 TFTP,  1 Unity et 1 CUPS);65000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vapp UC 20000 devices 8.6.2 V4  (1 Publisher,  8 Subscribers,  2 TFTP,  1 Unity et 1 CUPS);75000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;
